DEPTH,GR,LLD,RHOB,NPHI,Formation,CORR GR,CORR LLD,CORR RHOB,CORR NPHI
4674.3,12.349,0.6969676407440232,2.264,0.149,Hugin Fm. VOLVE Top,12.349,0.6969676407440232,2.264,0.149
4674.4,12.758,0.6893976628212823,2.271,0.146,Hugin Fm. VOLVE Top,12.758,0.6893976628212823,2.271,0.146
4674.5,12.665,0.6681062379327313,2.28,0.145,Hugin Fm. VOLVE Top,,0.6681062379327313,2.28,0.145
4674.6,11.62,0.6493348587121419,2.287,0.147,Hugin Fm. VOLVE Top,11.62,0.6493348587121419,2.287,0.147
4674.7,11.28,0.6555225962534177,2.291,0.146,Hugin Fm. VOLVE Top,11.28,0.6555225962534177,2.291,0.146
4674.8,11.901,0.6538875580709775,2.291,0.14,Hugin Fm. VOLVE Top,11.901,0.6538875580709775,2.291,0.14
4674.9,12.44,0.6743098889414773,2.288,0.137,Hugin Fm. VOLVE Top,12.44,0.6743098889414773,2.288,0.137
4675.0,12.07,0.678245151927042,2.284,0.136,Hugin Fm. VOLVE Top,12.07,0.678245151927042,2.284,0.136
4675.1,12.11,0.684755622108624,2.281,0.132,Hugin Fm. VOLVE Top,12.11,0.684755622108624,2.281,0.132
4675.2,11.767,0.6829569263012084,2.277,0.133,Hugin Fm. VOLVE Top,,,2.277,0.133
4675.3,11.897,0.6797911709803545,2.274,0.136,Hugin Fm. VOLVE Top,11.897,0.6797911709803545,2.274,0.136
4675.4,11.821,0.638389407665336,2.274,0.137,Hugin Fm. VOLVE Top,,0.638389407665336,2.274,0.137
4675.5,11.492,0.6007551496396181,2.277,0.137,Hugin Fm. VOLVE Top,11.492,0.6007551496396181,2.277,0.137
4675.6,11.272,0.6029277128591893,2.282,0.135,Hugin Fm. VOLVE Top,11.272,0.6029277128591893,2.282,0.135
4675.7,11.76,0.5996647787884168,2.289,0.134,Hugin Fm. VOLVE Top,,0.5996647787884168,2.289,0.134
4675.8,11.37,0.6071332043915667,2.296,0.128,Hugin Fm. VOLVE Top,11.37,0.6071332043915667,2.296,0.128
4675.9,11.122,0.6021685513789972,2.307,0.118,Hugin Fm. VOLVE Top,11.122,0.6021685513789972,2.307,0.118
4676.0,11.421,0.6073477767684134,2.322,0.112,Hugin Fm. VOLVE Top,11.421,0.6073477767684134,2.322,0.112
4676.1,11.496,0.6065963091792852,2.334,0.109,Hugin Fm. VOLVE Top,11.496,0.6065963091792852,2.334,
4676.2,11.399,0.6030360562505217,2.335,0.111,Hugin Fm. VOLVE Top,11.399,0.6030360562505217,2.335,0.111
4676.3,12.214,0.6094876898532853,2.321,0.116,Hugin Fm. VOLVE Top,12.214,0.6094876898532853,2.321,0.116
4676.4,11.62,0.6049816296074316,2.3,0.122,Hugin Fm. VOLVE Top,11.62,,2.3,0.122
4676.5,11.687,0.6029277128591893,2.284,0.128,Hugin Fm. VOLVE Top,11.687,0.6029277128591893,2.284,0.128
4676.6,13.155,0.6031443726201823,2.277,0.131,Hugin Fm. VOLVE Top,13.155,0.6031443726201823,2.277,0.131
4676.7,13.05,0.6033609243483805,2.279,0.133,Hugin Fm. VOLVE Top,13.05,0.6033609243483805,2.279,0.133
4676.8,13.751,0.6063813651106049,2.28,0.136,Hugin Fm. VOLVE Top,13.751,0.6063813651106049,2.28,0.136
4676.9,13.268,0.6204483847117088,2.279,0.134,Hugin Fm. VOLVE Top,,0.6204483847117088,2.279,0.134
4677.0,12.829,0.6350814360108731,2.275,0.132,Hugin Fm. VOLVE Top,12.829,,,0.132
4677.1,12.299,0.6475785542124551,2.273,0.128,Hugin Fm. VOLVE Top,12.299,0.6475785542124551,2.273,0.128
4677.2,11.736,0.6638892986226614,2.276,0.124,Hugin Fm. VOLVE Top,,0.6638892986226614,2.276,0.124
4677.3,12.065,0.6899301040182181,2.284,0.121,Hugin Fm. VOLVE Top,12.065,0.6899301040182181,2.284,0.121
4677.4,12.376,0.7218930162149574,2.3,0.118,Hugin Fm. VOLVE Top,12.376,0.7218930162149574,2.3,0.118
4677.5,12.014,0.7425680343661419,2.323,0.121,Hugin Fm. VOLVE Top,,,2.323,0.121
4677.6,11.899,0.7471009313649862,2.346,0.12,Hugin Fm. VOLVE Top,11.899,0.7471009313649862,2.346,0.12
4677.7,12.191,0.6954816764901974,2.362,0.115,Hugin Fm. VOLVE Top,12.191,,2.362,0.115
4677.8,12.318,0.6370892735303305,2.377,0.111,Hugin Fm. VOLVE Top,12.318,0.6370892735303305,2.377,0.111
4677.9,11.892,0.6427612032653204,2.394,0.107,Hugin Fm. VOLVE Top,11.892,0.6427612032653204,2.394,0.107
4678.0,11.883,0.6573427368146261,2.411,0.105,Hugin Fm. VOLVE Top,11.883,0.6573427368146261,2.411,0.105
4678.1,11.582,0.6529228875679419,2.422,0.104,Hugin Fm. VOLVE Top,,0.6529228875679419,2.422,0.104
4678.2,11.439,0.6474807731736759,2.426,0.105,Hugin Fm. VOLVE Top,11.439,0.6474807731736759,2.426,0.105
4678.3,11.362,0.6537911873878121,2.423,0.106,Hugin Fm. VOLVE Top,,0.6537911873878121,2.423,0.106
4678.4,11.714,0.6459132750338442,2.417,0.108,Hugin Fm. VOLVE Top,,0.6459132750338442,2.417,0.108
4678.5,11.796,0.649140064144219,2.413,0.11,Hugin Fm. VOLVE Top,,0.649140064144219,,0.11
4678.6,12.352,0.6450290647211425,2.412,0.111,Hugin Fm. VOLVE Top,12.352,0.6450290647211425,2.412,0.111
4678.7,12.767,0.638389407665336,2.412,0.112,Hugin Fm. VOLVE Top,12.767,0.638389407665336,2.412,0.112
4678.8,13.641,0.6268534146667257,2.409,0.113,Hugin Fm. VOLVE Top,13.641,0.6268534146667257,2.409,0.113
4678.9,14.305,0.6120417446452695,2.404,0.116,Hugin Fm. VOLVE Top,14.305,0.6120417446452695,2.404,0.116
4679.0,14.294,0.6021685513789972,2.397,0.121,Hugin Fm. VOLVE Top,14.294,0.6021685513789972,2.397,0.121
4679.1,14.217,0.5916210382133191,2.391,0.125,Hugin Fm. VOLVE Top,14.217,0.5916210382133191,2.391,0.125
4679.2,14.363,0.5888317255942073,2.386,0.129,Hugin Fm. VOLVE Top,14.363,0.5888317255942073,2.386,0.129
4679.3,14.264,0.5825178836040624,2.381,0.135,Hugin Fm. VOLVE Top,14.264,0.5825178836040624,2.381,0.135
4679.4,14.635,0.5720579899263045,2.372,0.133,Hugin Fm. VOLVE Top,14.635,0.5720579899263045,2.372,0.133
4679.5,14.261,0.5689054149828787,2.362,0.133,Hugin Fm. VOLVE Top,14.261,0.5689054149828787,2.362,0.133
4679.6,14.896,0.5670263661590603,2.351,0.132,Hugin Fm. VOLVE Top,,0.5670263661590603,2.351,0.132
4679.7,15.035,0.5460488664017343,2.342,0.131,Hugin Fm. VOLVE Top,15.035,0.5460488664017343,2.342,0.131
4679.8,15.082,0.5208763816883419,2.331,0.131,Hugin Fm. VOLVE Top,,,2.331,0.131
4679.9,15.431,0.4972061807039545,2.32,0.132,Hugin Fm. VOLVE Top,15.431,0.4972061807039545,,0.132
4680.0,15.648,0.4838724542226736,2.311,0.135,Hugin Fm. VOLVE Top,15.648,0.4838724542226736,2.311,0.135
4680.1,15.33,0.4605971888976015,2.307,0.139,Hugin Fm. VOLVE Top,15.33,0.4605971888976015,2.307,0.139
4680.2,15.955,0.44700289846616237,2.305,0.139,Hugin Fm. VOLVE Top,15.955,0.44700289846616237,2.305,0.139
4680.3,16.457,0.43743344379797117,2.305,0.135,Hugin Fm. VOLVE Top,16.457,0.43743344379797117,2.305,0.135
4680.4,16.487,0.42975228000240795,2.304,0.133,Hugin Fm. VOLVE Top,16.487,0.42975228000240795,2.304,0.133
4680.5,16.385,0.43200668726959834,2.302,0.132,Hugin Fm. VOLVE Top,16.385,0.43200668726959834,,0.132
4680.6,17.19,0.44824241263443915,2.3,0.133,Hugin Fm. VOLVE Top,17.19,,2.3,0.133
4680.7,17.624,0.4712917110589386,2.299,0.133,Hugin Fm. VOLVE Top,,0.4712917110589386,2.299,0.133
4680.8,16.987,0.4970679363985048,2.298,0.132,Hugin Fm. VOLVE Top,,0.4970679363985048,2.298,0.132
4680.9,16.02,0.5272431163880886,2.298,0.129,Hugin Fm. VOLVE Top,16.02,0.5272431163880886,2.298,0.129
4681.0,14.57,0.5526682161121932,2.3,0.125,Hugin Fm. VOLVE Top,14.57,0.5526682161121932,2.3,0.125
4681.1,13.544,0.5699588180965941,2.304,0.12,Hugin Fm. VOLVE Top,13.544,0.5699588180965941,2.304,0.12
4681.2,13.034,0.5705429398818975,2.313,0.115,Hugin Fm. VOLVE Top,13.034,,2.313,0.115
4681.3,13.593,0.5842181121174049,2.331,0.109,Hugin Fm. VOLVE Top,13.593,0.5842181121174049,2.331,
4681.4,16.201,0.6108730003800517,2.362,0.103,Hugin Fm. VOLVE Top,16.201,0.6108730003800517,2.362,0.103
4681.5,19.761,0.6676397060564108,2.408,0.095,Hugin Fm. VOLVE Top,,0.6676397060564108,2.408,0.095
4681.6,22.784,0.7089305358066162,2.467,0.085,Hugin Fm. VOLVE Top,22.784,0.7089305358066162,2.467,
4681.7,25.514,0.7856856682809014,2.533,0.074,Hugin Fm. VOLVE Top,,,2.533,0.074
4681.8,30.953,0.875177059814704,2.589,0.062,Hugin Fm. VOLVE Top,30.953,0.875177059814704,2.589,0.062
4681.9,36.946,0.92272545799326,2.621,0.068,Hugin Fm. VOLVE Top,,0.92272545799326,2.621,0.068
4682.0,38.754,0.948999454026953,2.628,0.07,Hugin Fm. VOLVE Top,38.754,0.948999454026953,2.628,0.07
4682.1,40.7,0.9477277269633156,2.625,0.072,Hugin Fm. VOLVE Top,40.7,0.9477277269633156,2.625,0.072
4682.2,42.276,0.9162959945631309,2.626,0.075,Hugin Fm. VOLVE Top,42.276,0.9162959945631309,,0.075
4682.3,42.425,0.9998262474544124,2.631,0.078,Hugin Fm. VOLVE Top,42.425,,2.631,0.078
4682.4,40.837,1.4198071051714987,2.63,0.081,Hugin Fm. VOLVE Top,40.837,1.4198071051714987,2.63,0.081
4682.5,42.434,1.4161576896321848,2.617,0.085,Hugin Fm. VOLVE Top,42.434,1.4161576896321848,2.617,
